list,song,spotify_url,spotdl_url,judge_url,same,search_seconds,judge_seconds,correct
Anthony's Playlist,AC/DC - Back In Black,https://open.spotify.com/track/08mG3Y1vljYA6bvDt4Wqkj,https://music.youtube.com/watch?v=9vWNauaZAgg,https://music.youtube.com/watch?v=9vWNauaZAgg,True,22.49,15.033,
Anthony's Playlist,AC/DC - Hells Bells,https://open.spotify.com/track/69QHm3pustz01CJRwdo20z,https://music.youtube.com/watch?v=GL56LY6fE0E,https://music.youtube.com/watch?v=GL56LY6fE0E,True,11.6,2.481,
Anthony's Playlist,AC/DC - Shoot to Thrill,https://open.spotify.com/track/0C80GCp0mMuBzLf3EAXqxv,https://music.youtube.com/watch?v=wLoWd2KyUro,https://music.youtube.com/watch?v=wLoWd2KyUro,True,13.43,4.344,
Anthony's Playlist,AC/DC - What Do You Do for Money Honey,https://open.spotify.com/track/6Th6ND8RQPywiyelecP5Lf,https://music.youtube.com/watch?v=yuvWF2I7BTI,https://music.youtube.com/watch?v=yuvWF2I7BTI,True,31.52,1.772,
Anthony's Playlist,AC/DC - Givin the Dog a Bone,https://open.spotify.com/track/6rAy2MsMUabbqu2VygrblP,https://music.youtube.com/watch?v=ZjYjjLJtGpo,https://music.youtube.com/watch?v=ZjYjjLJtGpo,True,10.13,2.306,
Anthony's Playlist,AC/DC - You Shook Me All Night Long,https://open.spotify.com/track/2SiXAy7TuUkycRVbbWDEpo,https://music.youtube.com/watch?v=SP9t2Iq_zQ8,https://music.youtube.com/watch?v=SP9t2Iq_zQ8,True,14.98,2.552,
Anthony's Playlist,AC/DC - Have a Drink on Me,https://open.spotify.com/track/4dDurgTN3eGyU0ghzFJ0T1,https://music.youtube.com/watch?v=dN61WU57zBw,https://music.youtube.com/watch?v=dN61WU57zBw,True,24.68,2.385,
Anthony's Playlist,AC/DC - Rock and Roll Ain't Noise Pollution,https://open.spotify.com/track/6J17MkMmuzBiIOjRH6MOBZ,https://music.youtube.com/watch?v=lwRHkS912ks,https://music.youtube.com/watch?v=lwRHkS912ks,True,12.56,2.98,
Anthony's Playlist,Michael Jackson - Bad,https://open.spotify.com/track/3tS8q8SXxtrYSN8UgeQt6q,https://music.youtube.com/watch?v=-DlMoJ2V6uk,https://www.youtube.com/watch?v=dsUXAEzaC3Q,False,9.15,1.489,
Anthony's Playlist,George Thorogood & The Destroyers - Bad To The Bone,https://open.spotify.com/track/6s0NHplywwr1IjnQpUpWJk,https://music.youtube.com/watch?v=8KciRaANKmo,https://music.youtube.com/watch?v=8KciRaANKmo,True,14.28,1.779,
Anthony's Playlist,Heart - Barracuda,https://open.spotify.com/track/4KfSdst7rW39C0sfhArdrz,https://music.youtube.com/watch?v=p6v6wWmEYvY,https://music.youtube.com/watch?v=p6v6wWmEYvY,True,8.6,1.325,
Anthony's Playlist,Led Zeppelin - Black Dog - Remaster,https://open.spotify.com/track/3nsUVlntPIksDvhHdZZhiu,https://music.youtube.com/watch?v=yBuub4Xe1mw,https://www.youtube.com/watch?v=BNIufp5fzEk,False,16.19,6.645,
Anthony's Playlist,Queen - Bohemian Rhapsody,https://open.spotify.com/track/6l8GvAyoUZwWDgF1e4822w,https://music.youtube.com/watch?v=BSTsnWoslP4,https://www.youtube.com/watch?v=fJ9rUzIMcZQ,False,8.95,1.303,
Anthony's Playlist,Deep Purple - Burn - 2002 Remaster,https://open.spotify.com/track/5s8IEEjgCTrujK3aUalvfF,https://music.youtube.com/watch?v=ZQGstnfTmAk,https://music.youtube.com/watch?v=ZQGstnfTmAk,True,15.31,8.777,
Anthony's Playlist,Status Quo - Caroline,https://open.spotify.com/track/3fSWHHIHLRvdB5PYJ7PXrF,https://music.youtube.com/watch?v=69YERtGeX6A,https://music.youtube.com/watch?v=69YERtGeX6A,True,10.57,3.633,
Anthony's Playlist,Ozzy Osbourne - Crazy Train,https://open.spotify.com/track/7ACxUo21jtTHzy7ZEV56vU,https://music.youtube.com/watch?v=hQ_Z-10dXSE,https://music.youtube.com/watch?v=hQ_Z-10dXSE,True,24.82,15.025,
Anthony's Playlist,Queen - Crazy Little Thing Called Love - Remastered 2011,https://open.spotify.com/track/35ItUJlMtjOQW3SSiTCrrw,https://music.youtube.com/watch?v=ARwcMqXz4Zc,https://www.youtube.com/watch?v=zO6D_BAuYCI,False,18.16,4.013,
Anthony's Playlist,Queen - Don't Stop Me Now,https://open.spotify.com/track/43DHLzDkncpby82Po5jlOZ,https://www.youtube.com/watch?v=HgzGwKwLmgM,https://www.youtube.com/watch?v=HgzGwKwLmgM,True,19.39,15.026,
Anthony's Playlist,Journey - Don't Stop Believin',https://open.spotify.com/track/4bHsxqR3GMrXTxEPLuK5ue,https://music.youtube.com/watch?v=sXcyiA38z9I,https://www.youtube.com/watch?v=Pze8Dyqiky8,False,25.69,15.282,
Anthony's Playlist,Aerosmith - Dream On,https://open.spotify.com/track/5MxNLUsfh7uzROypsoO5qe,https://music.youtube.com/watch?v=yZR4zH9Zy34,https://www.youtube.com/watch?v=89dGC8de0CA,False,38.22,15.077,
Anthony's Playlist,Metallica - Enter Sandman (Remastered),https://open.spotify.com/track/3VqHuw0wFlIHcIPWkhIbdQ,https://music.youtube.com/watch?v=CHIWNDAwTqQ,https://www.youtube.com/watch?v=6cwVjgWy3gc,False,30.41,15.012,
Anthony's Playlist,Survivor - Eye of the Tiger,https://open.spotify.com/track/2KH16WveTQWT6KOG9Rg6e2,https://www.youtube.com/watch?v=btPJPFnesV4,https://www.youtube.com/watch?v=btPJPFnesV4,True,11.4,8.334,
Anthony's Playlist,Queen - Fat Bottomed Girls,https://open.spotify.com/track/39sH8Fl415P7O8GRP1Td6Z,https://www.youtube.com/watch?v=1ncYJCw7N8g,https://www.youtube.com/watch?v=1ncYJCw7N8g,True,11.03,7.079,
Anthony's Playlist,"Kenny Loggins - Footloose - From ""Footloose"" Soundtrack",https://open.spotify.com/track/2vz1CsL5WBsbpBcwgboTAw,https://music.youtube.com/watch?v=HvropLxYb5c,https://music.youtube.com/watch?v=HvropLxYb5c,True,20.2,3.025,
Anthony's Playlist,Jerry Lee Lewis - Great Balls of Fire,https://open.spotify.com/track/7xe3EQCvXnx6Q0zs41Y65n,https://music.youtube.com/watch?v=ytvHi5VXCdw,https://www.youtube.com/watch?v=mqaadjVHsZQ,False,12.93,4.201,
Anthony's Playlist,Queen - Hammer To Fall,https://open.spotify.com/track/2GCFcbxm61rSA8gzsDk6NJ,https://music.youtube.com/watch?v=oZ8Zzhe8A2Q,https://music.youtube.com/watch?v=oZ8Zzhe8A2Q,True,10.49,2.682,
Anthony's Playlist,Judas Priest - Hell Bent for Leather,https://open.spotify.com/track/5hflg0cgTYWiwtPFoDx4g7,https://music.youtube.com/watch?v=OwUpV1_tteY,https://www.youtube.com/watch?v=P-CA8pbWIrM,False,18.24,4.373,
Anthony's Playlist,Judas Priest - Breaking the Law,https://open.spotify.com/track/2RaA6kIcvomt77qlIgGhCT,https://music.youtube.com/watch?v=BXtPycm5dGc,https://music.youtube.com/watch?v=BXtPycm5dGc,True,15.35,2.356,
Anthony's Playlist,Judas Priest - Living After Midnight,https://open.spotify.com/track/0IXpUl1fn2QZcBavfuq0H4,https://music.youtube.com/watch?v=PjTLOaD6fr4,https://music.youtube.com/watch?v=PjTLOaD6fr4,True,11.48,2.842,
Anthony's Playlist,Deep Purple - Highway Star,https://open.spotify.com/track/4gVTozEmzwAUXpwj3jEetX,https://music.youtube.com/watch?v=xKwPOy_nEmI,https://music.youtube.com/watch?v=xKwPOy_nEmI,True,9.42,3.251,
Anthony's Playlist,AC/DC - Highway to Hell,https://open.spotify.com/track/2zYzyRzz6pRmhPzyfMEC8s,https://music.youtube.com/watch?v=ikFFVfObwss,https://music.youtube.com/watch?v=ikFFVfObwss,True,39.31,2.82,
