song,spotify_url,spotdl_url,spotdl_score,judge_url,judge_choice,judge_confidence,judge_original,final_url,outcome
AC/DC - Back In Black,https://open.spotify.com/track/08mG3Y1vljYA6bvDt4Wqkj,https://music.youtube.com/watch?v=9vWNauaZAgg,100,,,,,https://music.youtube.com/watch?v=9vWNauaZAgg,judge_error
AC/DC - Hells Bells,https://open.spotify.com/track/69QHm3pustz01CJRwdo20z,https://music.youtube.com/watch?v=GL56LY6fE0E,100,,none,0.391,0.877,https://music.youtube.com/watch?v=GL56LY6fE0E,rejected_all
AC/DC - Shoot to Thrill,https://open.spotify.com/track/0C80GCp0mMuBzLf3EAXqxv,https://music.youtube.com/watch?v=wLoWd2KyUro,100.0,https://music.youtube.com/watch?v=wLoWd2KyUro,0,0.464,0.866,https://music.youtube.com/watch?v=wLoWd2KyUro,low_confidence
AC/DC - What Do You Do for Money Honey,https://open.spotify.com/track/6Th6ND8RQPywiyelecP5Lf,https://music.youtube.com/watch?v=yuvWF2I7BTI,100,https://www.youtube.com/watch?v=FesKVZJxhXw,4,0.389,0.916,https://music.youtube.com/watch?v=yuvWF2I7BTI,low_confidence
AC/DC - Givin the Dog a Bone,https://open.spotify.com/track/6rAy2MsMUabbqu2VygrblP,https://music.youtube.com/watch?v=ZjYjjLJtGpo,100,https://music.youtube.com/watch?v=ZjYjjLJtGpo,0,0.377,0.882,https://music.youtube.com/watch?v=ZjYjjLJtGpo,low_confidence
AC/DC - You Shook Me All Night Long,https://open.spotify.com/track/2SiXAy7TuUkycRVbbWDEpo,https://music.youtube.com/watch?v=SP9t2Iq_zQ8,100,,none,0.373,0.894,https://music.youtube.com/watch?v=SP9t2Iq_zQ8,rejected_all
AC/DC - Have a Drink on Me,https://open.spotify.com/track/4dDurgTN3eGyU0ghzFJ0T1,https://music.youtube.com/watch?v=dN61WU57zBw,100,,none,0.376,0.887,https://music.youtube.com/watch?v=dN61WU57zBw,rejected_all
AC/DC - Rock and Roll Ain't Noise Pollution,https://open.spotify.com/track/6J17MkMmuzBiIOjRH6MOBZ,https://music.youtube.com/watch?v=lwRHkS912ks,100,,none,0.409,0.808,https://music.youtube.com/watch?v=lwRHkS912ks,rejected_all
Michael Jackson - Bad,https://open.spotify.com/track/3tS8q8SXxtrYSN8UgeQt6q,https://www.youtube.com/watch?v=dsUXAEzaC3Q,100,,none,0.333,0.872,https://www.youtube.com/watch?v=dsUXAEzaC3Q,rejected_all
George Thorogood & The Destroyers - Bad To The Bone,https://open.spotify.com/track/6s0NHplywwr1IjnQpUpWJk,https://music.youtube.com/watch?v=8KciRaANKmo,100,,none,0.434,0.873,https://music.youtube.com/watch?v=8KciRaANKmo,rejected_all
