list,song,spotify_url,spotdl_url,judge_url,same,search_seconds,judge_seconds,correct
✨Spanish✨,Bad Bunny - DtMF,https://open.spotify.com/track/3sK8wGT43QFpWrvNQsrQya,https://music.youtube.com/watch?v=TiebZllW8As,https://music.youtube.com/watch?v=TiebZllW8As,True,8.83,2.69,
✨Spanish✨,Bad Bunny - BAILE INoLVIDABLE,https://open.spotify.com/track/2lTm559tuIvatlT1u0JYG2,https://music.youtube.com/watch?v=JseJETvMtHY,https://music.youtube.com/watch?v=JseJETvMtHY,True,15.55,2.288,
✨Spanish✨,Bad Bunny - Tití Me Preguntó,https://open.spotify.com/track/1IHWl5LamUGEuP4ozKQSXZ,https://music.youtube.com/watch?v=juRFjpB5Ppg,https://music.youtube.com/watch?v=juRFjpB5Ppg,True,13.23,2.706,
✨Spanish✨,Pedro Capó - Calma - Remix,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4,https://www.youtube.com/watch?v=1_zgKRBrT0Y,https://www.youtube.com/watch?v=1_zgKRBrT0Y,True,7.1,4.171,
✨Spanish✨,KAROL G - Si Antes Te Hubiera Conocido,https://open.spotify.com/track/73scB4Q4fcOmnsBVZPmk32,https://music.youtube.com/watch?v=mi-JD4jGVUQ,https://music.youtube.com/watch?v=mi-JD4jGVUQ,True,13.01,2.667,
✨Spanish✨,Enrique Iglesias - Bailando - Spanish Version,https://open.spotify.com/track/6PSKhwo0mVcOdjUOhVJd5p,https://www.youtube.com/watch?v=TpG9x_5iUEA,https://www.youtube.com/watch?v=TpG9x_5iUEA,True,5.21,2.276,
✨Spanish✨,Don Omar - Dile,https://open.spotify.com/track/69Ej1xrGjOcHvIMtMKxK0G,https://music.youtube.com/watch?v=VcrKS3nRvF8,https://music.youtube.com/watch?v=VcrKS3nRvF8,True,11.44,2.738,
✨Spanish✨,Shakira - Chantaje (feat. Maluma),https://open.spotify.com/track/6mICuAdrwEjh6Y6lroV2Kg,https://www.youtube.com/watch?v=6Mgqbai3fKo,https://www.youtube.com/watch?v=6Mgqbai3fKo,True,7.96,4.945,
✨Spanish✨,Daddy Yankee - Gasolina,https://open.spotify.com/track/5YoITs1m0q8UOQ4AW7N5ga,https://music.youtube.com/watch?v=2djj_KnGwjk,https://music.youtube.com/watch?v=2djj_KnGwjk,True,13.25,2.045,
✨Spanish✨,Gente De Zona - La Gozadera (feat. Marc Anthony),https://open.spotify.com/track/0OMRAvrtLWE2TvcXorRiB9,https://www.youtube.com/watch?v=Pts68DgMmsk,https://www.youtube.com/watch?v=Pts68DgMmsk,True,18.17,15.106,
