song,spotify_url,spotdl_url,spotdl_score,judge_url,judge_choice,judge_confidence,judge_original,final_url,outcome
Bad Bunny - DtMF,https://open.spotify.com/track/3sK8wGT43QFpWrvNQsrQya,https://music.youtube.com/watch?v=TiebZllW8As,100,,none,0.387,0.83,https://music.youtube.com/watch?v=TiebZllW8As,rejected_all
Bad Bunny - BAILE INoLVIDABLE,https://open.spotify.com/track/2lTm559tuIvatlT1u0JYG2,https://music.youtube.com/watch?v=JseJETvMtHY,100,,none,0.418,0.772,https://music.youtube.com/watch?v=JseJETvMtHY,rejected_all
Bad Bunny - Tití Me Preguntó,https://open.spotify.com/track/1IHWl5LamUGEuP4ozKQSXZ,https://music.youtube.com/watch?v=juRFjpB5Ppg,100,,none,0.426,0.898,https://music.youtube.com/watch?v=juRFjpB5Ppg,rejected_all
Pedro Capó - Calma - Remix,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4,https://www.youtube.com/watch?v=1_zgKRBrT0Y,100,https://www.youtube.com/watch?v=HybCY9dRAfk,4,0.384,0.817,https://www.youtube.com/watch?v=1_zgKRBrT0Y,low_confidence
KAROL G - Si Antes Te Hubiera Conocido,https://open.spotify.com/track/73scB4Q4fcOmnsBVZPmk32,https://music.youtube.com/watch?v=mi-JD4jGVUQ,100,,none,0.328,0.872,https://music.youtube.com/watch?v=mi-JD4jGVUQ,rejected_all
Enrique Iglesias - Bailando - Spanish Version,https://open.spotify.com/track/6PSKhwo0mVcOdjUOhVJd5p,https://www.youtube.com/watch?v=TpG9x_5iUEA,100,https://www.youtube.com/watch?v=FCkRPRO271Q,4,0.455,0.875,https://www.youtube.com/watch?v=TpG9x_5iUEA,low_confidence
Don Omar - Dile,https://open.spotify.com/track/69Ej1xrGjOcHvIMtMKxK0G,https://music.youtube.com/watch?v=VcrKS3nRvF8,100,,none,0.303,0.781,https://music.youtube.com/watch?v=VcrKS3nRvF8,rejected_all
Shakira - Chantaje (feat. Maluma),https://open.spotify.com/track/6mICuAdrwEjh6Y6lroV2Kg,https://www.youtube.com/watch?v=6Mgqbai3fKo,100,https://www.youtube.com/watch?v=cirI4zgOuyE,4,0.275,0.629,https://www.youtube.com/watch?v=6Mgqbai3fKo,low_confidence
Daddy Yankee - Gasolina,https://open.spotify.com/track/5YoITs1m0q8UOQ4AW7N5ga,https://music.youtube.com/watch?v=2djj_KnGwjk,100,,none,0.289,0.863,https://music.youtube.com/watch?v=2djj_KnGwjk,rejected_all
Gente De Zona - La Gozadera (feat. Marc Anthony),https://open.spotify.com/track/0OMRAvrtLWE2TvcXorRiB9,https://www.youtube.com/watch?v=Pts68DgMmsk,100,,,,,https://www.youtube.com/watch?v=Pts68DgMmsk,judge_error
Don Omar - Danza Kuduro,https://open.spotify.com/track/2a1o6ZejUi8U3wzzOtCOYw,https://www.youtube.com/watch?v=JmatCSqYu38,100,,none,0.278,0.798,https://www.youtube.com/watch?v=JmatCSqYu38,rejected_all
"Daddy Yankee - Lo Que Pasó, Pasó",https://open.spotify.com/track/40a82F3K2UTbeoLlXXXZBd,https://music.youtube.com/watch?v=fHwbnAeJ6EA,100,,,,,https://music.youtube.com/watch?v=fHwbnAeJ6EA,judge_error
CNCO - Reggaetón Lento (Bailemos),https://open.spotify.com/track/3AEZUABDXNtecAOSC1qTfo,https://music.youtube.com/watch?v=-RjOjtv9cKg,100,,,,,https://music.youtube.com/watch?v=-RjOjtv9cKg,judge_error
