list,song,spotify_url,spotdl_url,judge_url,same,search_seconds,judge_seconds,correct
✨Spanish✨,Bad Bunny - DtMF,https://open.spotify.com/track/3sK8wGT43QFpWrvNQsrQya,https://music.youtube.com/watch?v=TiebZllW8As,,,2.16,,
✨Spanish✨,Bad Bunny - BAILE INoLVIDABLE,https://open.spotify.com/track/2lTm559tuIvatlT1u0JYG2,https://music.youtube.com/watch?v=JseJETvMtHY,,,1.76,,
✨Spanish✨,Bad Bunny - Tití Me Preguntó,https://open.spotify.com/track/1IHWl5LamUGEuP4ozKQSXZ,https://music.youtube.com/watch?v=juRFjpB5Ppg,,,1.97,,
✨Spanish✨,Bad Bunny - CAFé CON RON,https://open.spotify.com/track/6VNXmo59yDYgcwLS17UNAW,https://music.youtube.com/watch?v=sLJsaFYnsjE,,,1.4,,
✨Spanish✨,Pedro Capó - Calma - Remix,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4,https://www.youtube.com/watch?v=1_zgKRBrT0Y,,,3.42,,
✨Spanish✨,KAROL G - Si Antes Te Hubiera Conocido,https://open.spotify.com/track/73scB4Q4fcOmnsBVZPmk32,https://music.youtube.com/watch?v=mi-JD4jGVUQ,,,1.58,,
✨Spanish✨,Enrique Iglesias - Bailando - Spanish Version,https://open.spotify.com/track/6PSKhwo0mVcOdjUOhVJd5p,https://www.youtube.com/watch?v=TpG9x_5iUEA,,,3.58,,
✨Spanish✨,Don Omar - Dile,https://open.spotify.com/track/69Ej1xrGjOcHvIMtMKxK0G,https://music.youtube.com/watch?v=VcrKS3nRvF8,,,1.53,,
✨Spanish✨,J Balvin - Azul,https://open.spotify.com/track/2lCkncy6bIB0LTMT7kvrD1,https://music.youtube.com/watch?v=_XTu5vefx5Y,,,1.51,,
✨Spanish✨,Shakira - Chantaje (feat. Maluma),https://open.spotify.com/track/6mICuAdrwEjh6Y6lroV2Kg,https://music.youtube.com/watch?v=z0LqPKQYzEI,,,1.59,,
✨Spanish✨,Daddy Yankee - Gasolina,https://open.spotify.com/track/5YoITs1m0q8UOQ4AW7N5ga,https://music.youtube.com/watch?v=2djj_KnGwjk,,,1.54,,
✨Spanish✨,Daddy Yankee - Limbo,https://open.spotify.com/track/3pDhN3qB33AOPhQEkUCaWt,https://music.youtube.com/watch?v=-UhyvOQ0XZY,,,1.57,,
✨Spanish✨,Gente De Zona - La Gozadera (feat. Marc Anthony),https://open.spotify.com/track/0OMRAvrtLWE2TvcXorRiB9,https://music.youtube.com/watch?v=LECvZ1GUweY,,,1.63,,
✨Spanish✨,Don Omar - Danza Kuduro,https://open.spotify.com/track/2a1o6ZejUi8U3wzzOtCOYw,https://www.youtube.com/watch?v=JmatCSqYu38,,,3.19,,
✨Spanish✨,J Balvin - Mi Gente,https://open.spotify.com/track/7COfe3P7KgfwDwIRB8LIDw,https://music.youtube.com/watch?v=uFuAHzHOGYQ,,,1.7,,
✨Spanish✨,"Daddy Yankee - Lo Que Pasó, Pasó",https://open.spotify.com/track/40a82F3K2UTbeoLlXXXZBd,https://music.youtube.com/watch?v=fHwbnAeJ6EA,,,1.59,,
✨Spanish✨,CNCO - Reggaetón Lento (Bailemos),https://open.spotify.com/track/3AEZUABDXNtecAOSC1qTfo,https://music.youtube.com/watch?v=-RjOjtv9cKg,,,1.46,,
✨Spanish✨,NATTI NATASHA - Criminal,https://open.spotify.com/track/4nt5qwSYkN4d3v57v4bB72,https://www.youtube.com/watch?v=-cTNTYsOU_4,,,3.15,,
✨Spanish✨,Daddy Yankee - Con Calma,https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m,https://music.youtube.com/watch?v=GQwj_FRntp8,,,1.68,,
✨Spanish✨,Bad Bunny - DÁKITI,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49,https://music.youtube.com/watch?v=2x9aY0QJR04,,,1.47,,
✨Spanish✨,Carlos Vives - La Bicicleta,https://open.spotify.com/track/0Gx4VrHzS7pZOEAGrmXXBH,https://www.youtube.com/watch?v=-UV0QGLmYys,,,3.12,,
✨Spanish✨,J Balvin - Ginza,https://open.spotify.com/track/2C2TGgFzrTRIOdQS1vUN5h,https://music.youtube.com/watch?v=T2eguXvbV7s,,,1.57,,
✨Spanish✨,Ricky Martin - Vente Pa' Ca (feat. Maluma),https://open.spotify.com/track/7DM4BPaS7uofFul3ywMe46,https://music.youtube.com/watch?v=COJp2Ejz0x0,,,1.69,,
✨Spanish✨,Daddy Yankee - La Despedida,https://open.spotify.com/track/0fqrZVSenCW6vD2eFMx5pt,https://music.youtube.com/watch?v=h6bg8X5qNUs,,,1.5,,
✨Spanish✨,Marc Anthony - Vivir Mi Vida,https://open.spotify.com/track/3QHMxEOAGD51PDlbFPHLyJ,https://music.youtube.com/watch?v=79OxD7KNlYw,,,1.61,,
✨Spanish✨,Farruko - Pepas,https://open.spotify.com/track/2B4GHvToeLTOBB4QLzW3Ni,https://www.youtube.com/watch?v=acm6O4WwgBg,,,3.02,,
✨Spanish✨,Luis Fonsi - Despacito,https://open.spotify.com/track/6habFhsOp2NvshLv26DqMb,https://music.youtube.com/watch?v=FXovf5dsRTw,,,1.77,,
✨Spanish✨,Bad Bunny - NUEVAYoL,https://open.spotify.com/track/5TFD2bmFKGhoCRbX61nXY5,https://music.youtube.com/watch?v=WdSGEvDGZAo,,,1.59,,
✨Spanish✨,Ricky Martin - La Mordidita (feat. Yotuel),https://open.spotify.com/track/00i0O74dXdaKKdCrqHnfXm,https://music.youtube.com/watch?v=5Ulr4o-WZgM,,,1.59,,
✨Spanish✨,Carlos Vives - Robarte un Beso,https://open.spotify.com/track/0JcNysfWVWaMS7R6vzGB2k,https://music.youtube.com/watch?v=H9y-oKSdA9w,,,1.7,,
✨Spanish✨,Shakira - Perro Fiel (feat. Nicky Jam),https://open.spotify.com/track/70lnL3QaSOIIyMa2X9aVRL,https://music.youtube.com/watch?v=WlLBTCxBJO8,,,1.75,,
✨Spanish✨,Deorro - Bailar (feat. Pitbull & Elvis Crespo),https://open.spotify.com/track/1A5yplwEk6cJbAL63L6bkp,https://www.youtube.com/watch?v=9cBtJYI6itg,,,3.15,,
✨Spanish✨,Don Omar - Hasta Que Salga El Sol,https://open.spotify.com/track/3W8oGQi947ofWesrIYXP2n,https://music.youtube.com/watch?v=nTWsspgrF0E,,,1.65,,
✨Spanish✨,Shakira - Acróstico - Milan + Sasha,https://open.spotify.com/track/7txjUEY6McJDJKqIo1Rxjp,https://www.youtube.com/watch?v=oBw5BlWsY3M,,,2.68,,
✨Spanish✨,Shakira - Dai Dai,https://open.spotify.com/track/0kosUz0jePvjiz4ctmR6wL,https://music.youtube.com/watch?v=lFQdcPTTzSg,,,1.6,,
✨Spanish✨,Shakira - Waka Waka (Esto es Africa) (feat. Freshlyground),https://open.spotify.com/track/0W8nDs4H2cqxxAgszNMYO3,https://www.youtube.com/watch?v=KZqFXNMYwr0,,,3.29,,
✨Spanish✨,Shakira - Loca (feat. El Cata),https://open.spotify.com/track/42k1KeBehAd83lrGt1okiC,https://music.youtube.com/watch?v=p_uBMc7mA0c,,,1.76,,
✨Spanish✨,Shakira - La Tortura (feat. Alejandro Sanz),https://open.spotify.com/track/53AafWSzYsiJKnAtJTUB5f,https://music.youtube.com/watch?v=GdgiSOHcswI,,,1.7,,
✨Spanish✨,KAROL G - TQG,https://open.spotify.com/track/0DWdj2oZMBFSzRsi2Cvfzf,https://music.youtube.com/watch?v=a4oZXu9jM-Q,,,1.59,,
✨Spanish✨,Luis Fonsi - Échame La Culpa,https://open.spotify.com/track/0mlAOSILGRys2IbvyOT5VJ,https://music.youtube.com/watch?v=YDswuo2dIvY,,,1.72,,
✨Spanish✨,Major Lazer - Que Calor,https://open.spotify.com/track/5dSWNkk66Gez4AM1kpZPiu,https://www.youtube.com/watch?v=QlDiILkppa8,,,3.61,,
✨Spanish✨,Carlos Vives - Canción Bonita,https://open.spotify.com/track/5iF33sXejXwfTuidVHMll0,https://music.youtube.com/watch?v=ZzTjmBeJIS4,,,1.82,,
✨Spanish✨,Rawayana - Inglés En Miami,https://open.spotify.com/track/3Y1xjjepdqMP141ipYCAqA,https://music.youtube.com/watch?v=X5m3orQOG1c,,,1.41,,
✨Spanish✨,Rawayana - Se Vienen Cositas,https://open.spotify.com/track/7ulDhf05iMrq4IFWNbTrbI,https://music.youtube.com/watch?v=WHcFA1qeF9k,,,1.23,,
✨Spanish✨,Elvis Crespo - Suavemente,https://open.spotify.com/track/7cpFmkNmh3MM0WqXPSbs9f,https://music.youtube.com/watch?v=QH0zo6AcP6g,,,1.63,,
✨Spanish✨,Fuerza Regida - Bebe Dame,https://open.spotify.com/track/0mzsLrUNazBaRfYZfjmpSV,https://www.youtube.com/watch?v=Oie--p6YqJo,,,4.99,,
✨Spanish✨,Aitana - SUPERESTRELLA,https://open.spotify.com/track/6hpuesKPNa3WhV48O7Fa47,https://music.youtube.com/watch?v=ElvzE2cPclc,,,1.45,,
✨Spanish✨,KAROL G - Ocean,https://open.spotify.com/track/6qoIFQfdmaQF9A1gb67tR7,https://music.youtube.com/watch?v=-kDOaQfzQyI,,,1.67,,
✨Spanish✨,Eslabon Armado - Ella Baila Sola,https://open.spotify.com/track/3dnP0JxCgygwQH9Gm7q7nb,https://music.youtube.com/watch?v=vPyV5Nj-EO0,,,1.55,,
✨Spanish✨,Nicky Jam - El Perdón (with Enrique Iglesias),https://open.spotify.com/track/7qCAVkHWZkF44OzOUKf8Cr,https://music.youtube.com/watch?v=zs6aDvOTlMo,,,1.65,,
✨Spanish✨,Juan Magán - Bailando por Ahi,https://open.spotify.com/track/6sHBvzRsuGunQTfCk18KXi,https://music.youtube.com/watch?v=tYclh6A0G9g,,,1.64,,
