list,song,spotify_url,spotdl_url,judge_url,same,search_seconds,judge_seconds,correct
Cata Liked Songs,Don Omar - Danza Kuduro,https://open.spotify.com/track/2a1o6ZejUi8U3wzzOtCOYw,https://www.youtube.com/watch?v=JmatCSqYu38,,,0.01,,
Cata Liked Songs,Shakira - Waka Waka (Esto es Africa) (feat. Freshlyground),https://open.spotify.com/track/0W8nDs4H2cqxxAgszNMYO3,https://www.youtube.com/watch?v=KZqFXNMYwr0,,,0.01,,
Cata Liked Songs,Marc Anthony - Vivir Mi Vida,https://open.spotify.com/track/3QHMxEOAGD51PDlbFPHLyJ,https://music.youtube.com/watch?v=79OxD7KNlYw,,,0.0,,
Cata Liked Songs,Carlos Vives - La Bicicleta,https://open.spotify.com/track/0Gx4VrHzS7pZOEAGrmXXBH,https://www.youtube.com/watch?v=-UV0QGLmYys,,,0.01,,
Cata Liked Songs,Pedro Capó - Calma - Remix,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4,https://www.youtube.com/watch?v=1_zgKRBrT0Y,,,0.01,,
Cata Liked Songs,The Highwomen - Crowded Table,https://open.spotify.com/track/5HuaHij4kVpfEVv93MYCeW,https://www.youtube.com/watch?v=ubNY-CPAp_I,,,3.51,,
Cata Liked Songs,Noah Kahan - You’re Gonna Go Far (with Brandi Carlile),https://open.spotify.com/track/2U15ix0JMkQY8EsxneUfyL,https://music.youtube.com/watch?v=S9NRNkx7g3w,,,1.42,,
Cata Liked Songs,Red Hot Chili Peppers - Under the Bridge,https://open.spotify.com/track/3d9DChrdc6BOeFsbrZ3Is0,https://music.youtube.com/watch?v=4UnU3r0M3zg,,,1.65,,
Cata Liked Songs,Brandi Carlile - The Mother,https://open.spotify.com/track/6jeIbpsYPF0CTId7QrLLer,https://music.youtube.com/watch?v=bbco7q5_iiI,,,1.76,,
Cata Liked Songs,Brandi Carlile - Human (feat. Jon Hopkins) - Sad Gay Version,https://open.spotify.com/track/3bVFS7hCCgwqmkCeVpxVZc,https://music.youtube.com/watch?v=QdPNHVy1mR0,,,1.63,,
Cata Liked Songs,Brandi Carlile - The Story,https://open.spotify.com/track/0EKBV6GybPtALXUgWqWrym,https://music.youtube.com/watch?v=Kpp7wgKWYl0,,,1.67,,
Cata Liked Songs,Brandi Carlile - The Joke,https://open.spotify.com/track/18k8IlS52uxRWObykDUZFG,https://music.youtube.com/watch?v=m1TpOPbYDyE,,,1.64,,
Cata Liked Songs,Brandi Carlile - You and Me On The Rock (feat. Lucius),https://open.spotify.com/track/61X73CJcpwGIxgQgKEXbw0,https://music.youtube.com/watch?v=-Oq_QV95w_0,,,1.53,,
Cata Liked Songs,"Brandi Carlile - Take Me Home, Country Roads",https://open.spotify.com/track/154t1fkfSU7zyJojSN6gvR,https://music.youtube.com/watch?v=msshgNNSgMc,,,1.77,,
Cata Liked Songs,Brandi Carlile - A War With Time,https://open.spotify.com/track/5VerAFKM0vDyjsRfxFFTZh,https://music.youtube.com/watch?v=h5j0OW5WGtk,,,1.59,,
Cata Liked Songs,Lil Mama - Lip Gloss,https://open.spotify.com/track/1Y4ZdPOOgCUhBcKZOrUFiS,https://www.youtube.com/watch?v=U6wSqROUAOY,,,3.26,,
Cata Liked Songs,Olly Murs - Troublemaker (feat. Flo Rida),https://open.spotify.com/track/6s8nHXTJVqFjXE4yVZPDHR,https://music.youtube.com/watch?v=EJRfHWI2S-s,,,1.78,,
Cata Liked Songs,Weezer - Island In The Sun,https://open.spotify.com/track/2MLHyLy5z5l5YRp7momlgw,https://music.youtube.com/watch?v=beX-9wW5rL0,,,1.54,,
Cata Liked Songs,Lenny Kravitz - Fly Away,https://open.spotify.com/track/1OxcIUqVmVYxT6427tbhDW,https://music.youtube.com/watch?v=2KeFjLDkOrI,,,1.69,,
Cata Liked Songs,"Toby Keith - Courtesy Of The Red, White And Blue (The Angry American)",https://open.spotify.com/track/0M7mWKqwTIaVjYyxfZmtTa,https://music.youtube.com/watch?v=OOekXfWTcvI,,,1.75,,
Cata Liked Songs,Zara Larsson - Lush Life,https://open.spotify.com/track/1rIKgCH4H52lrvDcz50hS8,https://music.youtube.com/watch?v=RG-D4bcg54s,,,1.77,,
Cata Liked Songs,Zach Bryan - American Nights,https://open.spotify.com/track/00ju8gshHD67on6Aqh83Pb,https://music.youtube.com/watch?v=InPsTunDjqA,,,1.49,,
Cata Liked Songs,Twenty One Pilots - Tear in My Heart,https://open.spotify.com/track/3bnVBN67NBEzedqQuWrpP4,https://music.youtube.com/watch?v=-olL71GgdXQ,,,1.69,,
Cata Liked Songs,Portugal. The Man - Feel It Still,https://open.spotify.com/track/6QgjcU0zLnzq5OrUoSZ3OK,https://music.youtube.com/watch?v=OPKTk5vUtDY,,,1.72,,
Cata Liked Songs,Cage The Elephant - Ain't No Rest for the Wicked,https://open.spotify.com/track/3Pzh926pXggbMe2ZpXyMV7,https://music.youtube.com/watch?v=e2Z0sON2UPc,,,1.67,,
Cata Liked Songs,Red Hot Chili Peppers - Can't Stop,https://open.spotify.com/track/3ZOEytgrvLwQaqXreDs2Jx,https://music.youtube.com/watch?v=D4INE2zO9OU,,,1.69,,
Cata Liked Songs,Capital Cities - Safe and Sound,https://open.spotify.com/track/5JVbvCHX10U2pLa5DEqGav,https://music.youtube.com/watch?v=jWpZuFM0Qtk,,,1.69,,
Cata Liked Songs,Creedence Clearwater Revival - Fortunate Son,https://open.spotify.com/track/4BP3uh0hFLFRb5cjsgLqDh,https://music.youtube.com/watch?v=r5NzAksjfDI,,,0.0,,
Cata Liked Songs,Red Hot Chili Peppers - Snow (Hey Oh),https://open.spotify.com/track/2aibwv5hGXSgw7Yru8IYTO,https://music.youtube.com/watch?v=s6GIT4RhFv0,,,1.82,,
Cata Liked Songs,The White Stripes - Seven Nation Army,https://open.spotify.com/track/3dPQuX8Gs42Y7b454ybpMR,https://music.youtube.com/watch?v=D_QLxj8jCF0,,,0.0,,
Cata Liked Songs,U2 - With Or Without You - Remastered 2007,https://open.spotify.com/track/2x45xqISlmmDJqxOqr8BuS,https://music.youtube.com/watch?v=oNvWDP_GkiY,,,1.73,,
Cata Liked Songs,Shaboozey - A Bar Song (Tipsy),https://open.spotify.com/track/7wd9kz7UXhJr8pgdqpzKu5,https://music.youtube.com/watch?v=DPaqlPFznBI,,,1.56,,
Cata Liked Songs,Shaboozey - Drink Don't Need No Mix (feat. BigXthaPlug),https://open.spotify.com/track/0dONpZqjuOnTC0S8k9sisT,https://music.youtube.com/watch?v=v7vkATSNy6c,,,1.53,,
Cata Liked Songs,Shaboozey - Last Of My Kind (feat. Paul Cauthen),https://open.spotify.com/track/0RKNYLcqG0mMNK0jFC8K47,https://music.youtube.com/watch?v=aBMQ_cO9Hl4,,,1.44,,
Cata Liked Songs,Michael Jackson - Beat It,https://open.spotify.com/track/3BovdzfaX4jb5KFQwoPfAw,https://www.youtube.com/watch?v=HALQqM_3zsg,,,3.5,,
Cata Liked Songs,Eurythmics - Sweet Dreams (Are Made of This) - 2005 Remaster,https://open.spotify.com/track/1TfqLAPs4K3s2rJMoCokcS,https://www.youtube.com/watch?v=qeMFqkcPYcg,,,3.57,,
Cata Liked Songs,Lady Gaga - Bad Romance,https://open.spotify.com/track/5P5cGNzqh6A353N3ShDK6Y,https://music.youtube.com/watch?v=QdaG6pDOz5A,,,1.72,,
Cata Liked Songs,The Killers - All These Things That I've Done,https://open.spotify.com/track/5vollujufHY0jMZxx77VWr,https://music.youtube.com/watch?v=AUAxlOfw2O0,,,1.74,,
Cata Liked Songs,The Killers - When You Were Young,https://open.spotify.com/track/70wYA8oYHoMzhRRkARoMhU,https://music.youtube.com/watch?v=s2gtQJiM5Zg,,,1.88,,
Cata Liked Songs,Nirvana - Smells Like Teen Spirit,https://open.spotify.com/track/5ghIJDpPoe3CfHMGu71E6T,https://www.youtube.com/watch?v=69Wqhhun5_o,,,0.01,,
Cata Liked Songs,AC/DC - Highway to Hell,https://open.spotify.com/track/2zYzyRzz6pRmhPzyfMEC8s,https://music.youtube.com/watch?v=ikFFVfObwss,,,0.0,,
Cata Liked Songs,Shaboozey - Good News,https://open.spotify.com/track/5VHRiH48pBB008CAkrIBwP,https://music.youtube.com/watch?v=-JAtwolReQg,,,1.54,,
Cata Liked Songs,Shaboozey - Amen,https://open.spotify.com/track/3anaHXs7z8NwLUatPxqJlE,https://music.youtube.com/watch?v=T7e5JLmjqXs,,,1.34,,
Cata Liked Songs,Shaboozey - Blink Twice,https://open.spotify.com/track/213uaappJODsexwkR9rxhS,https://music.youtube.com/watch?v=FBanAuwX1IE,,,1.45,,
Cata Liked Songs,Red Hot Chili Peppers - Otherside,https://open.spotify.com/track/64BbK9SFKH2jk86U3dGj2P,https://music.youtube.com/watch?v=8901V1M5lDk,,,1.72,,
Cata Liked Songs,Jimmy Eat World - The Middle,https://open.spotify.com/track/6GG73Jik4jUlQCkKg9JuGO,https://music.youtube.com/watch?v=rubpIfLPzvU,,,1.74,,
Cata Liked Songs,Ritt Momney - Put Your Records On,https://open.spotify.com/track/6AGOKlMZWLCaEJGnaROtF9,https://music.youtube.com/watch?v=9NqhIhsJqHo,,,1.7,,
Cata Liked Songs,Franz Ferdinand - Take Me Out,https://open.spotify.com/track/20I8RduZC2PWMWTDCZuuAN,https://music.youtube.com/watch?v=d11xns8lE4w,,,1.83,,
Cata Liked Songs,GRAHAM - Look Too Easy,https://open.spotify.com/track/2NjHlLS4KCChsfJPcR4jzd,https://music.youtube.com/watch?v=DfgtdRkRxcY,,,1.66,,
