list,song,spotify_url,spotdl_url,judge_url,same,search_seconds,judge_seconds,correct
Anthony's Playlist,AC/DC - Back In Black,https://open.spotify.com/track/08mG3Y1vljYA6bvDt4Wqkj,https://music.youtube.com/watch?v=9vWNauaZAgg,https://music.youtube.com/watch?v=9vWNauaZAgg,True,5.18,1.391,
Anthony's Playlist,AC/DC - Hells Bells,https://open.spotify.com/track/69QHm3pustz01CJRwdo20z,https://music.youtube.com/watch?v=GL56LY6fE0E,https://music.youtube.com/watch?v=GL56LY6fE0E,True,5.48,2.798,
Anthony's Playlist,AC/DC - Shoot to Thrill,https://open.spotify.com/track/0C80GCp0mMuBzLf3EAXqxv,https://music.youtube.com/watch?v=wLoWd2KyUro,https://music.youtube.com/watch?v=wLoWd2KyUro,True,4.26,1.078,
Anthony's Playlist,AC/DC - What Do You Do for Money Honey,https://open.spotify.com/track/6Th6ND8RQPywiyelecP5Lf,https://music.youtube.com/watch?v=yuvWF2I7BTI,https://music.youtube.com/watch?v=yuvWF2I7BTI,True,4.86,1.478,
Anthony's Playlist,AC/DC - Givin the Dog a Bone,https://open.spotify.com/track/6rAy2MsMUabbqu2VygrblP,https://music.youtube.com/watch?v=ZjYjjLJtGpo,https://music.youtube.com/watch?v=ZjYjjLJtGpo,True,3.74,0.858,
Anthony's Playlist,AC/DC - You Shook Me All Night Long,https://open.spotify.com/track/2SiXAy7TuUkycRVbbWDEpo,https://music.youtube.com/watch?v=SP9t2Iq_zQ8,https://music.youtube.com/watch?v=SP9t2Iq_zQ8,True,6.71,3.033,
Anthony's Playlist,AC/DC - Have a Drink on Me,https://open.spotify.com/track/4dDurgTN3eGyU0ghzFJ0T1,https://music.youtube.com/watch?v=dN61WU57zBw,https://music.youtube.com/watch?v=dN61WU57zBw,True,6.23,2.839,
Anthony's Playlist,AC/DC - Rock and Roll Ain't Noise Pollution,https://open.spotify.com/track/6J17MkMmuzBiIOjRH6MOBZ,https://music.youtube.com/watch?v=lwRHkS912ks,https://music.youtube.com/watch?v=lwRHkS912ks,True,5.76,2.516,
Anthony's Playlist,Michael Jackson - Bad,https://open.spotify.com/track/3tS8q8SXxtrYSN8UgeQt6q,https://music.youtube.com/watch?v=IEGIWRpnpBU,https://music.youtube.com/watch?v=IEGIWRpnpBU,True,6.61,3.315,
Anthony's Playlist,George Thorogood & The Destroyers - Bad To The Bone,https://open.spotify.com/track/6s0NHplywwr1IjnQpUpWJk,https://music.youtube.com/watch?v=8KciRaANKmo,https://music.youtube.com/watch?v=8KciRaANKmo,True,8.46,3.757,
Anthony's Playlist,Heart - Barracuda,https://open.spotify.com/track/4KfSdst7rW39C0sfhArdrz,https://music.youtube.com/watch?v=p6v6wWmEYvY,https://music.youtube.com/watch?v=p6v6wWmEYvY,True,4.48,1.511,
Anthony's Playlist,Led Zeppelin - Black Dog - Remaster,https://open.spotify.com/track/3nsUVlntPIksDvhHdZZhiu,https://music.youtube.com/watch?v=yBuub4Xe1mw,https://music.youtube.com/watch?v=yBuub4Xe1mw,True,5.36,2.088,
Anthony's Playlist,Queen - Bohemian Rhapsody,https://open.spotify.com/track/6l8GvAyoUZwWDgF1e4822w,https://music.youtube.com/watch?v=BSTsnWoslP4,https://music.youtube.com/watch?v=BSTsnWoslP4,True,5.56,2.251,
Anthony's Playlist,Manfred Mann's Earth Band - Blinded By The Light,https://open.spotify.com/track/7kNNylJ1kswWbHeRM6UDuE,https://music.youtube.com/watch?v=33ptulhhQPg,https://music.youtube.com/watch?v=33ptulhhQPg,True,5.29,1.845,
Anthony's Playlist,Deep Purple - Burn - 2002 Remaster,https://open.spotify.com/track/5s8IEEjgCTrujK3aUalvfF,https://music.youtube.com/watch?v=ZQGstnfTmAk,https://music.youtube.com/watch?v=ZQGstnfTmAk,True,4.44,1.047,
Anthony's Playlist,Status Quo - Caroline,https://open.spotify.com/track/3fSWHHIHLRvdB5PYJ7PXrF,https://music.youtube.com/watch?v=69YERtGeX6A,https://music.youtube.com/watch?v=69YERtGeX6A,True,4.86,1.52,
Anthony's Playlist,Ozzy Osbourne - Crazy Train,https://open.spotify.com/track/7ACxUo21jtTHzy7ZEV56vU,https://music.youtube.com/watch?v=hQ_Z-10dXSE,https://music.youtube.com/watch?v=hQ_Z-10dXSE,True,5.3,2.312,
Anthony's Playlist,Queen - Crazy Little Thing Called Love - Remastered 2011,https://open.spotify.com/track/35ItUJlMtjOQW3SSiTCrrw,https://music.youtube.com/watch?v=ARwcMqXz4Zc,https://music.youtube.com/watch?v=ARwcMqXz4Zc,True,4.46,0.914,
Anthony's Playlist,Queen - Don't Stop Me Now,https://open.spotify.com/track/43DHLzDkncpby82Po5jlOZ,https://www.youtube.com/watch?v=HgzGwKwLmgM,https://www.youtube.com/watch?v=HgzGwKwLmgM,True,6.38,2.804,
Anthony's Playlist,Journey - Don't Stop Believin',https://open.spotify.com/track/4bHsxqR3GMrXTxEPLuK5ue,https://music.youtube.com/watch?v=sXcyiA38z9I,https://music.youtube.com/watch?v=sXcyiA38z9I,True,5.92,2.784,
Anthony's Playlist,Aerosmith - Dream On,https://open.spotify.com/track/5MxNLUsfh7uzROypsoO5qe,https://music.youtube.com/watch?v=yZR4zH9Zy34,https://music.youtube.com/watch?v=yZR4zH9Zy34,True,6.91,3.859,
Anthony's Playlist,Metallica - Enter Sandman (Remastered),https://open.spotify.com/track/3VqHuw0wFlIHcIPWkhIbdQ,https://music.youtube.com/watch?v=XZuM4zFg-60,https://music.youtube.com/watch?v=XZuM4zFg-60,True,5.97,2.96,
Anthony's Playlist,Survivor - Eye of the Tiger,https://open.spotify.com/track/2KH16WveTQWT6KOG9Rg6e2,https://www.youtube.com/watch?v=btPJPFnesV4,https://www.youtube.com/watch?v=btPJPFnesV4,True,5.72,2.503,
Anthony's Playlist,Queen - Fat Bottomed Girls,https://open.spotify.com/track/39sH8Fl415P7O8GRP1Td6Z,https://www.youtube.com/watch?v=1ncYJCw7N8g,https://www.youtube.com/watch?v=1ncYJCw7N8g,True,5.55,2.519,
Anthony's Playlist,"Kenny Loggins - Footloose - From ""Footloose"" Soundtrack",https://open.spotify.com/track/2vz1CsL5WBsbpBcwgboTAw,https://music.youtube.com/watch?v=HvropLxYb5c,https://music.youtube.com/watch?v=HvropLxYb5c,True,4.31,1.024,
Anthony's Playlist,"Kenny Loggins - Danger Zone - From ""Top Gun"" Original Soundtrack",https://open.spotify.com/track/3hMHG6lx9QHVcfYSUr5PoM,https://music.youtube.com/watch?v=9ID4RAqCqnQ,https://music.youtube.com/watch?v=9ID4RAqCqnQ,True,3.98,0.777,
Anthony's Playlist,Jerry Lee Lewis - Great Balls of Fire,https://open.spotify.com/track/7xe3EQCvXnx6Q0zs41Y65n,https://music.youtube.com/watch?v=M0oPYVuGWAc,https://music.youtube.com/watch?v=c3Ne3UYBNZo,False,4.21,1.12,
Anthony's Playlist,Queen - Hammer To Fall,https://open.spotify.com/track/2GCFcbxm61rSA8gzsDk6NJ,https://music.youtube.com/watch?v=oZ8Zzhe8A2Q,https://music.youtube.com/watch?v=oZ8Zzhe8A2Q,True,5.23,2.302,
Anthony's Playlist,Judas Priest - Hell Bent for Leather,https://open.spotify.com/track/5hflg0cgTYWiwtPFoDx4g7,https://music.youtube.com/watch?v=OwUpV1_tteY,https://music.youtube.com/watch?v=OwUpV1_tteY,True,8.85,5.715,
Anthony's Playlist,Judas Priest - Breaking the Law,https://open.spotify.com/track/2RaA6kIcvomt77qlIgGhCT,https://music.youtube.com/watch?v=BXtPycm5dGc,https://music.youtube.com/watch?v=BXtPycm5dGc,True,10.34,7.594,
Anthony's Playlist,Judas Priest - Living After Midnight,https://open.spotify.com/track/0IXpUl1fn2QZcBavfuq0H4,https://music.youtube.com/watch?v=PjTLOaD6fr4,https://music.youtube.com/watch?v=PjTLOaD6fr4,True,7.1,3.807,
Anthony's Playlist,"David Bowie - ""Heroes"" - 2017 Remaster",https://open.spotify.com/track/7Jh1bpe76CNTCgdgAdBw4Z,https://www.youtube.com/watch?v=A2HAHXxeNNE,https://www.youtube.com/watch?v=A2HAHXxeNNE,True,11.23,6.285,
Anthony's Playlist,Deep Purple - Highway Star,https://open.spotify.com/track/4gVTozEmzwAUXpwj3jEetX,https://music.youtube.com/watch?v=xKwPOy_nEmI,https://music.youtube.com/watch?v=xKwPOy_nEmI,True,5.57,2.171,
Anthony's Playlist,AC/DC - Highway to Hell,https://open.spotify.com/track/2zYzyRzz6pRmhPzyfMEC8s,https://music.youtube.com/watch?v=ikFFVfObwss,https://music.youtube.com/watch?v=ikFFVfObwss,True,5.91,3.017,
Anthony's Playlist,Van Halen - Hot for Teacher - 2015 Remaster,https://open.spotify.com/track/6QDbGdbJ57Mtkflsg42WV5,https://music.youtube.com/watch?v=h_FKbrcnxA8,https://music.youtube.com/watch?v=h_FKbrcnxA8,True,4.31,1.2,
Anthony's Playlist,Eagles - Hotel California - 2013 Remaster,https://open.spotify.com/track/40riOy7x9W7GXjyGp4pjAv,https://www.youtube.com/watch?v=dLl4PZtxia8,https://www.youtube.com/watch?v=dLl4PZtxia8,True,5.28,2.342,
