song,spotify_url,spotdl_url,spotdl_score,judge_url,judge_choice,judge_confidence,judge_original,final_url,outcome
AC/DC - Back In Black,https://open.spotify.com/track/08mG3Y1vljYA6bvDt4Wqkj,https://music.youtube.com/watch?v=9vWNauaZAgg,100.0,,none,0.5,0.856,https://music.youtube.com/watch?v=9vWNauaZAgg,rejected_all
AC/DC - Hells Bells,https://open.spotify.com/track/69QHm3pustz01CJRwdo20z,https://music.youtube.com/watch?v=GL56LY6fE0E,100.0,,none,0.449,0.84,https://music.youtube.com/watch?v=GL56LY6fE0E,rejected_all
AC/DC - Shoot to Thrill,https://open.spotify.com/track/0C80GCp0mMuBzLf3EAXqxv,https://music.youtube.com/watch?v=wLoWd2KyUro,100.0,,none,0.374,0.797,https://music.youtube.com/watch?v=wLoWd2KyUro,rejected_all
AC/DC - What Do You Do for Money Honey,https://open.spotify.com/track/6Th6ND8RQPywiyelecP5Lf,https://music.youtube.com/watch?v=yuvWF2I7BTI,100.0,https://www.youtube.com/watch?v=Z3EwdbWculc,4,0.267,0.884,https://music.youtube.com/watch?v=yuvWF2I7BTI,low_confidence
AC/DC - Givin the Dog a Bone,https://open.spotify.com/track/6rAy2MsMUabbqu2VygrblP,https://music.youtube.com/watch?v=ZjYjjLJtGpo,100.0,,none,0.388,0.857,https://music.youtube.com/watch?v=ZjYjjLJtGpo,rejected_all
AC/DC - You Shook Me All Night Long,https://open.spotify.com/track/2SiXAy7TuUkycRVbbWDEpo,https://music.youtube.com/watch?v=SP9t2Iq_zQ8,100.0,,none,0.435,0.85,https://music.youtube.com/watch?v=SP9t2Iq_zQ8,rejected_all
AC/DC - Have a Drink on Me,https://open.spotify.com/track/4dDurgTN3eGyU0ghzFJ0T1,https://music.youtube.com/watch?v=dN61WU57zBw,100.0,,none,0.411,0.857,https://music.youtube.com/watch?v=dN61WU57zBw,rejected_all
AC/DC - Rock and Roll Ain't Noise Pollution,https://open.spotify.com/track/6J17MkMmuzBiIOjRH6MOBZ,https://music.youtube.com/watch?v=lwRHkS912ks,100.0,,none,0.418,0.793,https://music.youtube.com/watch?v=lwRHkS912ks,rejected_all
Michael Jackson - Bad,https://open.spotify.com/track/3tS8q8SXxtrYSN8UgeQt6q,https://music.youtube.com/watch?v=IEGIWRpnpBU,90.34,https://music.youtube.com/watch?v=IEGIWRpnpBU,4,0.391,0.861,https://music.youtube.com/watch?v=IEGIWRpnpBU,low_confidence
George Thorogood & The Destroyers - Bad To The Bone,https://open.spotify.com/track/6s0NHplywwr1IjnQpUpWJk,https://music.youtube.com/watch?v=8KciRaANKmo,100.0,,none,0.425,0.837,https://music.youtube.com/watch?v=8KciRaANKmo,rejected_all
Heart - Barracuda,https://open.spotify.com/track/4KfSdst7rW39C0sfhArdrz,https://music.youtube.com/watch?v=p6v6wWmEYvY,100.0,,none,0.303,0.824,https://music.youtube.com/watch?v=p6v6wWmEYvY,rejected_all
Led Zeppelin - Black Dog - Remaster,https://open.spotify.com/track/3nsUVlntPIksDvhHdZZhiu,https://music.youtube.com/watch?v=yBuub4Xe1mw,86.37,https://music.youtube.com/watch?v=yBuub4Xe1mw,4,0.537,0.89,https://music.youtube.com/watch?v=yBuub4Xe1mw,low_confidence
Queen - Bohemian Rhapsody,https://open.spotify.com/track/6l8GvAyoUZwWDgF1e4822w,https://music.youtube.com/watch?v=BSTsnWoslP4,81.41,,none,0.361,0.789,https://music.youtube.com/watch?v=BSTsnWoslP4,rejected_all
Manfred Mann's Earth Band - Blinded By The Light,https://open.spotify.com/track/7kNNylJ1kswWbHeRM6UDuE,https://music.youtube.com/watch?v=33ptulhhQPg,100.0,,none,0.411,0.858,https://music.youtube.com/watch?v=33ptulhhQPg,rejected_all
Deep Purple - Burn - 2002 Remaster,https://open.spotify.com/track/5s8IEEjgCTrujK3aUalvfF,https://music.youtube.com/watch?v=ZQGstnfTmAk,100.0,https://music.youtube.com/watch?v=ZQGstnfTmAk,0,0.343,0.88,https://music.youtube.com/watch?v=ZQGstnfTmAk,low_confidence
Status Quo - Caroline,https://open.spotify.com/track/3fSWHHIHLRvdB5PYJ7PXrF,https://music.youtube.com/watch?v=69YERtGeX6A,100.0,,none,0.299,0.809,https://music.youtube.com/watch?v=69YERtGeX6A,rejected_all
