list,song,spotify_url,spotdl_url,judge_url,same,search_seconds,judge_seconds,correct
✨Spanish✨,Bad Bunny - DtMF,https://open.spotify.com/track/3sK8wGT43QFpWrvNQsrQya,https://music.youtube.com/watch?v=TiebZllW8As,https://music.youtube.com/watch?v=TiebZllW8As,True,8.65,5.17,
✨Spanish✨,Bad Bunny - BAILE INoLVIDABLE,https://open.spotify.com/track/2lTm559tuIvatlT1u0JYG2,https://music.youtube.com/watch?v=JseJETvMtHY,https://music.youtube.com/watch?v=JseJETvMtHY,True,34.52,31.487,
✨Spanish✨,Bad Bunny - Tití Me Preguntó,https://open.spotify.com/track/1IHWl5LamUGEuP4ozKQSXZ,https://www.youtube.com/watch?v=a9xxDXRQ0-w,https://www.youtube.com/watch?v=a9xxDXRQ0-w,True,28.75,25.532,
✨Spanish✨,Bad Bunny - CAFé CON RON,https://open.spotify.com/track/6VNXmo59yDYgcwLS17UNAW,https://music.youtube.com/watch?v=sLJsaFYnsjE,https://music.youtube.com/watch?v=sLJsaFYnsjE,True,9.93,6.025,
✨Spanish✨,Pedro Capó - Calma - Remix,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4,https://www.youtube.com/watch?v=1_zgKRBrT0Y,https://www.youtube.com/watch?v=1_zgKRBrT0Y,True,8.61,6.091,
✨Spanish✨,KAROL G - Si Antes Te Hubiera Conocido,https://open.spotify.com/track/73scB4Q4fcOmnsBVZPmk32,https://music.youtube.com/watch?v=mi-JD4jGVUQ,https://music.youtube.com/watch?v=mi-JD4jGVUQ,True,5.55,2.203,
✨Spanish✨,Enrique Iglesias - Bailando - Spanish Version,https://open.spotify.com/track/6PSKhwo0mVcOdjUOhVJd5p,https://www.youtube.com/watch?v=TpG9x_5iUEA,https://www.youtube.com/watch?v=TpG9x_5iUEA,True,31.63,28.415,
✨Spanish✨,J Balvin - Azul,https://open.spotify.com/track/2lCkncy6bIB0LTMT7kvrD1,https://music.youtube.com/watch?v=_XTu5vefx5Y,https://music.youtube.com/watch?v=_XTu5vefx5Y,True,8.91,5.783,
✨Spanish✨,Shakira - Chantaje (feat. Maluma),https://open.spotify.com/track/6mICuAdrwEjh6Y6lroV2Kg,https://music.youtube.com/watch?v=z0LqPKQYzEI,https://music.youtube.com/watch?v=z0LqPKQYzEI,True,4.24,1.16,
✨Spanish✨,Daddy Yankee - Gasolina,https://open.spotify.com/track/5YoITs1m0q8UOQ4AW7N5ga,https://music.youtube.com/watch?v=2djj_KnGwjk,https://music.youtube.com/watch?v=2djj_KnGwjk,True,5.75,2.61,
✨Spanish✨,Daddy Yankee - Limbo,https://open.spotify.com/track/3pDhN3qB33AOPhQEkUCaWt,https://music.youtube.com/watch?v=-UhyvOQ0XZY,https://music.youtube.com/watch?v=-UhyvOQ0XZY,True,20.87,14.233,
✨Spanish✨,Gente De Zona - La Gozadera (feat. Marc Anthony),https://open.spotify.com/track/0OMRAvrtLWE2TvcXorRiB9,https://music.youtube.com/watch?v=LECvZ1GUweY,https://music.youtube.com/watch?v=LECvZ1GUweY,True,63.33,60.059,
✨Spanish✨,Don Omar - Danza Kuduro,https://open.spotify.com/track/2a1o6ZejUi8U3wzzOtCOYw,https://www.youtube.com/watch?v=JmatCSqYu38,https://www.youtube.com/watch?v=JmatCSqYu38,True,45.21,42.291,
✨Spanish✨,J Balvin - Mi Gente,https://open.spotify.com/track/7COfe3P7KgfwDwIRB8LIDw,https://music.youtube.com/watch?v=uFuAHzHOGYQ,https://music.youtube.com/watch?v=uFuAHzHOGYQ,True,16.2,12.736,
✨Spanish✨,"Daddy Yankee - Lo Que Pasó, Pasó",https://open.spotify.com/track/40a82F3K2UTbeoLlXXXZBd,https://music.youtube.com/watch?v=fHwbnAeJ6EA,https://music.youtube.com/watch?v=fHwbnAeJ6EA,True,12.87,7.058,
✨Spanish✨,CNCO - Reggaetón Lento (Bailemos),https://open.spotify.com/track/3AEZUABDXNtecAOSC1qTfo,https://music.youtube.com/watch?v=-RjOjtv9cKg,https://music.youtube.com/watch?v=-RjOjtv9cKg,True,12.18,7.05,
✨Spanish✨,NATTI NATASHA - Criminal,https://open.spotify.com/track/4nt5qwSYkN4d3v57v4bB72,https://www.youtube.com/watch?v=-cTNTYsOU_4,https://www.youtube.com/watch?v=-cTNTYsOU_4,True,17.18,14.295,
✨Spanish✨,Daddy Yankee - Con Calma,https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m,https://music.youtube.com/watch?v=GQwj_FRntp8,https://music.youtube.com/watch?v=GQwj_FRntp8,True,11.68,8.514,
✨Spanish✨,Bad Bunny - DÁKITI,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49,https://music.youtube.com/watch?v=2x9aY0QJR04,https://music.youtube.com/watch?v=2x9aY0QJR04,True,6.33,3.365,
✨Spanish✨,Carlos Vives - La Bicicleta,https://open.spotify.com/track/0Gx4VrHzS7pZOEAGrmXXBH,https://www.youtube.com/watch?v=-UV0QGLmYys,https://www.youtube.com/watch?v=-UV0QGLmYys,True,34.12,30.85,
✨Spanish✨,J Balvin - Ginza,https://open.spotify.com/track/2C2TGgFzrTRIOdQS1vUN5h,https://music.youtube.com/watch?v=T2eguXvbV7s,https://music.youtube.com/watch?v=T2eguXvbV7s,True,47.09,44.007,
✨Spanish✨,Ricky Martin - Vente Pa' Ca (feat. Maluma),https://open.spotify.com/track/7DM4BPaS7uofFul3ywMe46,https://music.youtube.com/watch?v=COJp2Ejz0x0,https://music.youtube.com/watch?v=COJp2Ejz0x0,True,59.31,55.93,
✨Spanish✨,Daddy Yankee - La Despedida,https://open.spotify.com/track/0fqrZVSenCW6vD2eFMx5pt,https://music.youtube.com/watch?v=h6bg8X5qNUs,https://music.youtube.com/watch?v=h6bg8X5qNUs,True,26.38,23.371,
✨Spanish✨,Marc Anthony - Vivir Mi Vida,https://open.spotify.com/track/3QHMxEOAGD51PDlbFPHLyJ,https://music.youtube.com/watch?v=79OxD7KNlYw,https://music.youtube.com/watch?v=79OxD7KNlYw,True,9.95,6.245,
✨Spanish✨,Farruko - Pepas,https://open.spotify.com/track/2B4GHvToeLTOBB4QLzW3Ni,https://www.youtube.com/watch?v=acm6O4WwgBg,https://www.youtube.com/watch?v=acm6O4WwgBg,True,4.74,1.787,
✨Spanish✨,Luis Fonsi - Despacito,https://open.spotify.com/track/6habFhsOp2NvshLv26DqMb,https://music.youtube.com/watch?v=FXovf5dsRTw,https://music.youtube.com/watch?v=FXovf5dsRTw,True,4.69,1.53,
✨Spanish✨,Bad Bunny - NUEVAYoL,https://open.spotify.com/track/5TFD2bmFKGhoCRbX61nXY5,https://music.youtube.com/watch?v=WdSGEvDGZAo,https://music.youtube.com/watch?v=WdSGEvDGZAo,True,4.03,0.886,
✨Spanish✨,Ricky Martin - La Mordidita (feat. Yotuel),https://open.spotify.com/track/00i0O74dXdaKKdCrqHnfXm,https://music.youtube.com/watch?v=5Ulr4o-WZgM,https://music.youtube.com/watch?v=5Ulr4o-WZgM,True,5.06,0.721,
✨Spanish✨,Carlos Vives - Robarte un Beso,https://open.spotify.com/track/0JcNysfWVWaMS7R6vzGB2k,https://music.youtube.com/watch?v=H9y-oKSdA9w,https://music.youtube.com/watch?v=H9y-oKSdA9w,True,4.29,1.013,
✨Spanish✨,Shakira - Perro Fiel (feat. Nicky Jam),https://open.spotify.com/track/70lnL3QaSOIIyMa2X9aVRL,https://music.youtube.com/watch?v=WlLBTCxBJO8,https://music.youtube.com/watch?v=WlLBTCxBJO8,True,5.11,1.983,
✨Spanish✨,Deorro - Bailar (feat. Pitbull & Elvis Crespo),https://open.spotify.com/track/1A5yplwEk6cJbAL63L6bkp,https://www.youtube.com/watch?v=9cBtJYI6itg,https://www.youtube.com/watch?v=9cBtJYI6itg,True,4.5,1.387,
✨Spanish✨,Don Omar - Hasta Que Salga El Sol,https://open.spotify.com/track/3W8oGQi947ofWesrIYXP2n,https://music.youtube.com/watch?v=nTWsspgrF0E,https://music.youtube.com/watch?v=nTWsspgrF0E,True,5.66,2.558,
✨Spanish✨,Shakira - Acróstico - Milan + Sasha,https://open.spotify.com/track/7txjUEY6McJDJKqIo1Rxjp,https://www.youtube.com/watch?v=oBw5BlWsY3M,https://www.youtube.com/watch?v=oBw5BlWsY3M,True,4.75,2.041,
✨Spanish✨,Shakira - Dai Dai,https://open.spotify.com/track/0kosUz0jePvjiz4ctmR6wL,https://music.youtube.com/watch?v=lFQdcPTTzSg,https://music.youtube.com/watch?v=lFQdcPTTzSg,True,25.08,21.367,
✨Spanish✨,Shakira - Waka Waka (Esto es Africa) (feat. Freshlyground),https://open.spotify.com/track/0W8nDs4H2cqxxAgszNMYO3,https://www.youtube.com/watch?v=KZqFXNMYwr0,https://www.youtube.com/watch?v=KZqFXNMYwr0,True,15.42,12.206,
✨Spanish✨,Shakira - Loca (feat. El Cata),https://open.spotify.com/track/42k1KeBehAd83lrGt1okiC,https://music.youtube.com/watch?v=p_uBMc7mA0c,https://music.youtube.com/watch?v=p_uBMc7mA0c,True,48.24,44.894,
✨Spanish✨,Shakira - La Tortura (feat. Alejandro Sanz),https://open.spotify.com/track/53AafWSzYsiJKnAtJTUB5f,https://music.youtube.com/watch?v=GdgiSOHcswI,https://music.youtube.com/watch?v=GdgiSOHcswI,True,8.7,5.192,
✨Spanish✨,KAROL G - TQG,https://open.spotify.com/track/0DWdj2oZMBFSzRsi2Cvfzf,https://music.youtube.com/watch?v=a4oZXu9jM-Q,https://music.youtube.com/watch?v=a4oZXu9jM-Q,True,31.48,28.398,
✨Spanish✨,Luis Fonsi - Échame La Culpa,https://open.spotify.com/track/0mlAOSILGRys2IbvyOT5VJ,https://music.youtube.com/watch?v=YDswuo2dIvY,https://music.youtube.com/watch?v=YDswuo2dIvY,True,6.2,3.055,
✨Spanish✨,Major Lazer - Que Calor,https://open.spotify.com/track/5dSWNkk66Gez4AM1kpZPiu,https://www.youtube.com/watch?v=QlDiILkppa8,https://www.youtube.com/watch?v=QlDiILkppa8,True,37.91,34.547,
✨Spanish✨,Carlos Vives - Canción Bonita,https://open.spotify.com/track/5iF33sXejXwfTuidVHMll0,https://music.youtube.com/watch?v=ZzTjmBeJIS4,https://music.youtube.com/watch?v=ZzTjmBeJIS4,True,5.36,2.216,
✨Spanish✨,Rawayana - Inglés En Miami,https://open.spotify.com/track/3Y1xjjepdqMP141ipYCAqA,https://music.youtube.com/watch?v=X5m3orQOG1c,https://music.youtube.com/watch?v=X5m3orQOG1c,True,5.6,2.597,
✨Spanish✨,Rawayana - Se Vienen Cositas,https://open.spotify.com/track/7ulDhf05iMrq4IFWNbTrbI,https://music.youtube.com/watch?v=WHcFA1qeF9k,https://music.youtube.com/watch?v=WHcFA1qeF9k,True,4.71,2.212,
✨Spanish✨,Elvis Crespo - Suavemente,https://open.spotify.com/track/7cpFmkNmh3MM0WqXPSbs9f,https://music.youtube.com/watch?v=QH0zo6AcP6g,https://music.youtube.com/watch?v=QH0zo6AcP6g,True,4.51,1.171,
✨Spanish✨,Fuerza Regida - Bebe Dame,https://open.spotify.com/track/0mzsLrUNazBaRfYZfjmpSV,https://www.youtube.com/watch?v=Oie--p6YqJo,https://www.youtube.com/watch?v=Oie--p6YqJo,True,5.52,2.437,
✨Spanish✨,Aitana - SUPERESTRELLA,https://open.spotify.com/track/6hpuesKPNa3WhV48O7Fa47,https://music.youtube.com/watch?v=ElvzE2cPclc,https://music.youtube.com/watch?v=ElvzE2cPclc,True,4.7,1.774,
✨Spanish✨,KAROL G - Ocean,https://open.spotify.com/track/6qoIFQfdmaQF9A1gb67tR7,https://music.youtube.com/watch?v=-kDOaQfzQyI,https://music.youtube.com/watch?v=-kDOaQfzQyI,True,5.29,2.402,
✨Spanish✨,Eslabon Armado - Ella Baila Sola,https://open.spotify.com/track/3dnP0JxCgygwQH9Gm7q7nb,https://music.youtube.com/watch?v=vPyV5Nj-EO0,https://music.youtube.com/watch?v=vPyV5Nj-EO0,True,5.41,2.267,
✨Spanish✨,Nicky Jam - El Perdón (with Enrique Iglesias),https://open.spotify.com/track/7qCAVkHWZkF44OzOUKf8Cr,https://music.youtube.com/watch?v=zs6aDvOTlMo,https://music.youtube.com/watch?v=zs6aDvOTlMo,True,5.39,2.063,
✨Spanish✨,Juan Magán - Bailando por Ahi,https://open.spotify.com/track/6sHBvzRsuGunQTfCk18KXi,https://music.youtube.com/watch?v=tYclh6A0G9g,https://music.youtube.com/watch?v=tYclh6A0G9g,True,5.18,2.396,
