song	kind	correct	note
Luis Fonsi - Despacito	DIFF	both	spotdl=official audio 229s; judge=Keller Lyrics upload 228s (same audio, fan re-upload); judge pick came from judge_all fallback bug (outcome rejected_all)
Shakira - Chantaje (feat. Maluma)	SAME	unsure	official music video 199s vs 195s; video may add intro/outro
Bad Bunny - BAILE INoLVIDABLE	SAME	both	official audio
J Balvin - Ginza	SAME	both	official audio
Bad Bunny - DÁKITI	SAME	both	official audio
Daddy Yankee - Con Calma	SAME	unsure	'LK Music Heaven' upload 190s vs 193s, 60 views; could be edited
Daddy Yankee - Gasolina	SAME	both	official audio
Don Omar - Dile	SAME	both	official audio
Enrique Iglesias - Bailando - Spanish Version	SAME	both	lyrics re-upload 241s vs 242s, correct version
Shakira - Dai Dai	SAME	both	official audio
Nicky Jam - El Perdón (with Enrique Iglesias)	SAME	both	official audio
Bad Bunny - DtMF	SAME	both	official audio
Bad Bunny - Tití Me Preguntó	SAME	both	official audio
