n	song	url	label	note
1	AC/DC - Back In Black	https://music.youtube.com/watch?v=9vWNauaZAgg	correct	official audio, title, artist and duration match
2	AC/DC - Hells Bells	https://music.youtube.com/watch?v=GL56LY6fE0E	correct	official audio, title, artist and duration match
3	AC/DC - Shoot to Thrill	https://music.youtube.com/watch?v=wLoWd2KyUro	correct	official audio, title, artist and duration match
4	AC/DC - What Do You Do for Money Honey	https://music.youtube.com/watch?v=yuvWF2I7BTI	correct	official audio, title, artist and duration match
5	AC/DC - Givin the Dog a Bone	https://music.youtube.com/watch?v=ZjYjjLJtGpo	correct	official audio, title, artist and duration match
6	AC/DC - You Shook Me All Night Long	https://music.youtube.com/watch?v=SP9t2Iq_zQ8	correct	official audio, title, artist and duration match
7	AC/DC - Have a Drink on Me	https://music.youtube.com/watch?v=dN61WU57zBw	correct	official audio, title, artist and duration match
8	AC/DC - Rock and Roll Ain't Noise Pollution	https://music.youtube.com/watch?v=lwRHkS912ks	unsure	official song but 12 s longer than Spotify (267 vs 255)
9	Michael Jackson - Bad	https://music.youtube.com/watch?v=IEGIWRpnpBU	correct	official audio on HIStory, 1 s off
10	George Thorogood & The Destroyers - Bad To The Bone	https://music.youtube.com/watch?v=8KciRaANKmo	correct	official audio, title, artist and duration match
11	Heart - Barracuda	https://music.youtube.com/watch?v=p6v6wWmEYvY	correct	official audio, title, artist and duration match
12	Led Zeppelin - Black Dog - Remaster	https://music.youtube.com/watch?v=yBuub4Xe1mw	correct	official remaster on Mothership
13	Queen - Bohemian Rhapsody	https://music.youtube.com/watch?v=BSTsnWoslP4	correct	official audio, same length
14	Manfred Mann's Earth Band - Blinded By The Light	https://music.youtube.com/watch?v=33ptulhhQPg	correct	official audio, title, artist and duration match
15	Deep Purple - Burn - 2002 Remaster	https://music.youtube.com/watch?v=ZQGstnfTmAk	correct	official audio, title, artist and duration match
16	Status Quo - Caroline	https://music.youtube.com/watch?v=69YERtGeX6A	correct	official audio, title, artist and duration match
17	Ozzy Osbourne - Crazy Train	https://music.youtube.com/watch?v=hQ_Z-10dXSE	correct	official audio, title, artist and duration match
18	Queen - Crazy Little Thing Called Love - Remastered 2011	https://music.youtube.com/watch?v=ARwcMqXz4Zc	correct	official audio on the deluxe edition
19	Queen - Don't Stop Me Now	https://www.youtube.com/watch?v=HgzGwKwLmgM	unsure	official video, 6 s longer; may have an intro
20	Journey - Don't Stop Believin'	https://music.youtube.com/watch?v=sXcyiA38z9I	correct	studio recording on a compilation
21	Aerosmith - Dream On	https://music.youtube.com/watch?v=yZR4zH9Zy34	correct	official audio on Pandora's Box, same length
22	Metallica - Enter Sandman (Remastered)	https://music.youtube.com/watch?v=XZuM4zFg-60	correct	official remaster
23	Survivor - Eye of the Tiger	https://www.youtube.com/watch?v=btPJPFnesV4	correct	official video, same length
24	Queen - Fat Bottomed Girls	https://www.youtube.com/watch?v=1ncYJCw7N8g	unsure	lyrics upload 9 s shorter than the album version
25	"Kenny Loggins - Footloose - From ""Footloose"" Soundtrack"	https://music.youtube.com/watch?v=HvropLxYb5c	correct	official audio, title, artist and duration match
26	"Kenny Loggins - Danger Zone - From ""Top Gun"" Original Soundtrack"	https://music.youtube.com/watch?v=9ID4RAqCqnQ	correct	official audio, title, artist and duration match
