n	song	url	label	note
1	Bad Bunny - DtMF	https://music.youtube.com/watch?v=TiebZllW8As	correct	official audio, title, artist and duration match
2	Bad Bunny - BAILE INoLVIDABLE	https://music.youtube.com/watch?v=JseJETvMtHY	correct	official audio, title, artist and duration match
3	Bad Bunny - Tití Me Preguntó	https://music.youtube.com/watch?v=juRFjpB5Ppg	correct	official audio, title, artist and duration match
4	Bad Bunny - CAFé CON RON	https://music.youtube.com/watch?v=sLJsaFYnsjE	correct	official audio, title, artist and duration match
5	Pedro Capó - Calma - Remix	https://www.youtube.com/watch?v=1_zgKRBrT0Y	correct	official video of the remix, same length
6	KAROL G - Si Antes Te Hubiera Conocido	https://music.youtube.com/watch?v=mi-JD4jGVUQ	correct	official audio, title, artist and duration match
7	Enrique Iglesias - Bailando - Spanish Version	https://www.youtube.com/watch?v=TpG9x_5iUEA	correct	lyrics upload of the Spanish version, 1 s off
8	Don Omar - Dile	https://music.youtube.com/watch?v=VcrKS3nRvF8	correct	official audio, title, artist and duration match
9	J Balvin - Azul	https://music.youtube.com/watch?v=_XTu5vefx5Y	correct	official audio, title, artist and duration match
10	Shakira - Chantaje (feat. Maluma)	https://music.youtube.com/watch?v=z0LqPKQYzEI	correct	official audio, title, artist and duration match
11	Daddy Yankee - Gasolina	https://music.youtube.com/watch?v=2djj_KnGwjk	correct	official audio, title, artist and duration match
12	Daddy Yankee - Limbo	https://music.youtube.com/watch?v=-UhyvOQ0XZY	correct	official audio, title, artist and duration match
13	Gente De Zona - La Gozadera (feat. Marc Anthony)	https://music.youtube.com/watch?v=LECvZ1GUweY	correct	official audio, title, artist and duration match
14	Don Omar - Danza Kuduro	https://www.youtube.com/watch?v=JmatCSqYu38	correct	re-upload of the original, 1 s off
15	J Balvin - Mi Gente	https://music.youtube.com/watch?v=uFuAHzHOGYQ	correct	official audio, title, artist and duration match
16	Daddy Yankee - Lo Que Pasó, Pasó	https://music.youtube.com/watch?v=fHwbnAeJ6EA	correct	official audio, title, artist and duration match
17	CNCO - Reggaetón Lento (Bailemos)	https://music.youtube.com/watch?v=-RjOjtv9cKg	correct	official audio, title, artist and duration match
18	NATTI NATASHA - Criminal	https://www.youtube.com/watch?v=-cTNTYsOU_4	unsure	lyrics upload 4 s longer; fix1 label unsure
19	Daddy Yankee - Con Calma	https://music.youtube.com/watch?v=GQwj_FRntp8	correct	official audio, title, artist and duration match
20	Bad Bunny - DÁKITI	https://music.youtube.com/watch?v=2x9aY0QJR04	correct	official audio, title, artist and duration match
21	Carlos Vives - La Bicicleta	https://www.youtube.com/watch?v=-UV0QGLmYys	wrong	music video 9 s longer than the audio; fix1 label wrong
22	J Balvin - Ginza	https://music.youtube.com/watch?v=T2eguXvbV7s	correct	official audio, title, artist and duration match
23	Ricky Martin - Vente Pa' Ca (feat. Maluma)	https://music.youtube.com/watch?v=COJp2Ejz0x0	correct	official audio on another album
24	Daddy Yankee - La Despedida	https://music.youtube.com/watch?v=h6bg8X5qNUs	correct	official audio, title, artist and duration match
