n	song	url	label	note
1	Don Omar - Danza Kuduro	https://www.youtube.com/watch?v=JmatCSqYu38	correct	re-upload of the original, 1 s off
2	Shakira - Waka Waka (Esto es Africa) (feat. Freshlyground)	https://www.youtube.com/watch?v=KZqFXNMYwr0	correct	lyrics upload, 1 s off, Spanish version
3	Marc Anthony - Vivir Mi Vida	https://music.youtube.com/watch?v=79OxD7KNlYw	correct	official audio, title, artist and duration match
4	Carlos Vives - La Bicicleta	https://www.youtube.com/watch?v=-UV0QGLmYys	wrong	music video 9 s longer than the audio (same pick as the Spanish list)
5	Pedro Capó - Calma - Remix	https://www.youtube.com/watch?v=1_zgKRBrT0Y	correct	official video of the remix, same length
6	The Highwomen - Crowded Table	https://www.youtube.com/watch?v=ubNY-CPAp_I	correct	official audio video, 2 s off
7	Noah Kahan - You’re Gonna Go Far (with Brandi Carlile)	https://music.youtube.com/watch?v=S9NRNkx7g3w	correct	official audio, title, artist and duration match
8	Red Hot Chili Peppers - Under the Bridge	https://music.youtube.com/watch?v=4UnU3r0M3zg	correct	official audio, title, artist and duration match
9	Brandi Carlile - The Mother	https://music.youtube.com/watch?v=bbco7q5_iiI	correct	official audio, title, artist and duration match
10	Brandi Carlile - Human (feat. Jon Hopkins) - Sad Gay Version	https://music.youtube.com/watch?v=QdPNHVy1mR0	correct	official audio of the Sad Gay Version
11	Brandi Carlile - The Story	https://music.youtube.com/watch?v=Kpp7wgKWYl0	correct	official audio, title, artist and duration match
12	Brandi Carlile - The Joke	https://music.youtube.com/watch?v=m1TpOPbYDyE	correct	official audio, title, artist and duration match
13	Brandi Carlile - You and Me On The Rock (feat. Lucius)	https://music.youtube.com/watch?v=-Oq_QV95w_0	correct	official audio, title, artist and duration match
14	Brandi Carlile - Take Me Home, Country Roads	https://music.youtube.com/watch?v=msshgNNSgMc	correct	official audio, title, artist and duration match
15	Brandi Carlile - A War With Time	https://music.youtube.com/watch?v=h5j0OW5WGtk	correct	official audio on the commentary edition
16	Lil Mama - Lip Gloss	https://www.youtube.com/watch?v=U6wSqROUAOY	correct	lyrics upload, 1 s off
17	Olly Murs - Troublemaker (feat. Flo Rida)	https://music.youtube.com/watch?v=EJRfHWI2S-s	correct	official audio, title, artist and duration match
18	Weezer - Island In The Sun	https://music.youtube.com/watch?v=beX-9wW5rL0	correct	official audio (Green Album)
19	Lenny Kravitz - Fly Away	https://music.youtube.com/watch?v=2KeFjLDkOrI	correct	official audio, title, artist and duration match
20	Toby Keith - Courtesy Of The Red, White And Blue (The Angry American)	https://music.youtube.com/watch?v=OOekXfWTcvI	correct	official audio, title, artist and duration match
21	Zara Larsson - Lush Life	https://music.youtube.com/watch?v=RG-D4bcg54s	correct	official audio, title, artist and duration match
22	Zach Bryan - American Nights	https://music.youtube.com/watch?v=InPsTunDjqA	correct	official audio, title, artist and duration match
23	Twenty One Pilots - Tear in My Heart	https://music.youtube.com/watch?v=-olL71GgdXQ	correct	official audio, title, artist and duration match
24	Portugal. The Man - Feel It Still	https://music.youtube.com/watch?v=OPKTk5vUtDY	correct	official audio, title, artist and duration match
25	Cage The Elephant - Ain't No Rest for the Wicked	https://music.youtube.com/watch?v=e2Z0sON2UPc	correct	official audio, title, artist and duration match
26	Red Hot Chili Peppers - Can't Stop	https://music.youtube.com/watch?v=D4INE2zO9OU	correct	official audio, title, artist and duration match
27	Capital Cities - Safe and Sound	https://music.youtube.com/watch?v=jWpZuFM0Qtk	correct	official audio, title, artist and duration match
28	Creedence Clearwater Revival - Fortunate Son	https://music.youtube.com/watch?v=r5NzAksjfDI	correct	official audio, title, artist and duration match
29	Red Hot Chili Peppers - Snow (Hey Oh)	https://music.youtube.com/watch?v=s6GIT4RhFv0	correct	official audio, title, artist and duration match
30	The White Stripes - Seven Nation Army	https://music.youtube.com/watch?v=D_QLxj8jCF0	correct	official audio, title, artist and duration match
31	U2 - With Or Without You - Remastered 2007	https://music.youtube.com/watch?v=oNvWDP_GkiY	correct	official audio on the super deluxe edition
32	Shaboozey - A Bar Song (Tipsy)	https://music.youtube.com/watch?v=DPaqlPFznBI	correct	official audio, title, artist and duration match
